prompt,completion,
起酥油、高筋麵粉、低筋麵粉、水、鹽、白油、細砂糖、鮪魚餡料、全蛋液、蛋黃液,"鮪魚派
食材：起酥油、高筋麵粉、低筋麵粉、水、鹽、白油、細砂糖、鮪魚餡料、全蛋液、蛋黃液
做法：1.請依酥皮材料的份量製作酥皮麵糰，其作法請本站食譜-【法式包摺法(酥皮)】。2.將作法1已完成的酥皮麵糰，用桿麵棍桿成長60公分、寬36公分、厚0.3公分的酥皮麵皮後，靜置鬆弛30分鐘，再分切成15片長寬各12×12公分的正方形酥皮麵皮靜置鬆弛30分鐘。3.再將酥皮麵皮分切成長12公分、寬6公分共30片的麵皮。4.取15片麵皮並在表面上刷上一層全蛋液，再取每份約30公克重的鮪魚餡料平均置放在麵皮中央處，再取另外15片麵皮覆蓋上去，最後再塗抹上一層蛋黃液後，放入烤箱中以上火200℃、下火180℃烤約30分鐘。",
小魚乾、紅辣椒、蔥、薑泥、蒜泥,"辣炒小魚乾
 食材：小魚乾，紅辣椒，蔥，薑泥，蒜泥
 調味料：糖，辣椒粉，醬油，鹽
 作法：1.紅辣椒洗淨，去籽切細碎；蔥洗淨切末備用。2.小魚乾洗淨，以吸油紙吸乾水分，放入熱油鍋中，再加入蒜泥、薑泥一起煎出香味，盛出瀝乾油分。3.另起一油鍋，待油熱後，小火放入辣椒粉快速翻炒數下，再加入蔥、紅辣椒、作法2的小魚乾及調味料一起翻炒均勻，盛入盤中撒上芝麻即可食用。",
鯛魚片、透抽、蛤蜊、鮮蚵、高麗菜、紅蘿蔔、蔥、拉麵、高湯,"台式海鮮湯麵
 食材：鯛魚片，透抽，蛤蜊，鮮蚵，高麗菜，紅蘿蔔，蔥，拉麵，高湯
 調味料：鹽
 作法：1.蛤蜊洗淨加入冷水和少許鹽（份量外）拌勻，靜置使其吐沙；待約2小時後，再重複上述作法換水一次，待約2小時後洗淨蛤蜊，瀝乾水份備用。2.高麗菜洗淨切絲備用；紅蘿蔔去皮洗淨切絲備用；蔥洗淨切段備用。3.透抽撕去表層薄膜，洗淨切小段備用；鯛魚片洗淨切小片，加1/4茶匙的鹽（份量外）抓勻醃漬備用；鮮蚵洗淨備用。4.備一鍋滾沸的水，將作法3的透抽段、鯛魚片以及鮮蚵汆燙後撈起，備用。5.將高湯煮至滾沸，放入麵條煮約2分鐘，再加入作法4的透抽、鯛魚片、鮮蚵、作法1的蛤蜊、作法2的高麗菜絲以及紅蘿蔔絲，再入鹽調味，煮至蛤蜊張開再加入蔥段，倒入麵碗內。6.最後於作法5麵碗內加入蛤蜊水即可。",
鮪魚罐頭、青蔥、蒜頭、白飯、玉米粒,"玉米鮪魚飯
 食材：鮪魚罐頭，青蔥，蒜頭，白飯，玉米粒
 調味料：黑胡椒粉，鹽，蕃茄醬，香油
 作法：1.將青蔥、蒜頭切碎備用。2.取一個平底鍋，先加入一大匙沙拉油，再放入作法1的所有材料以中火爆香。3.續加入鮪魚罐、玉米粒和所有調味料一起翻炒均勻即可。4.取碗裝入白飯，再將作法3放在飯上即可。",
吳郭魚、胡椒鹽、九層塔,"鹽烤吳郭魚
 食材：吳郭魚，胡椒鹽，九層塔
 調味料：米酒，鹽，醬油，薑片
 作法：1.將吳郭魚洗淨，用所有醃料醃10分備用。2.烤箱預熱至220℃，錫箔紙上塗抹少許沙拉油，放上吳郭魚包起來，入烤箱烤約10分鐘後取出，將錫箔紙打開撒上胡椒鹽，再入烤箱烤2分鐘，上色後取出盛盤，放上九層塔即可。",
吻仔魚、蒜花生、蒜末、薑末、紅辣椒末、蒜苗圈,"蒜香吻仔魚
 食材：吻仔魚，蒜花生，蒜末，薑末，紅辣椒末，蒜苗圈
 調味料：醬油，鹽，糖，白胡椒粉
 作法：1.吻仔魚洗淨、瀝乾，備用。2.將作法1的吻仔魚放入熱油鍋中，略炸後撈出瀝油。3.熱鍋，加入少量油，放入蒜末、薑末、紅辣椒末爆香。4.再放入蒜苗圈、作法2的吻仔魚炒香，加入調味料炒勻後接著放入花生拌勻即可。",
甜不辣、洋蔥、紅辣椒、水、油,"沙茶洋蔥甜不辣
 食材：甜不辣，洋蔥，紅辣椒，水，油
 調味料：沙茶醬，醬油膏，細砂糖
 作法：1.洋蔥切絲；紅辣椒切絲；備用。2.取一炒鍋燒熱後加入少許油量，將甜不辣以小火煎至兩面顏色變黃。3.在作法2中放入洋蔥絲以小火炒2分鐘，再加入水量、所有調味料、紅辣椒絲續炒1分鐘即可。",
尼羅紅魚、蔥、薑、辣椒、沙拉油、蠔油醬,"清蒸鮮魚
 食材：尼羅紅魚，蔥，薑，辣椒，沙拉油，蠔油醬
 調味料：米酒
 作法：1.把尼羅紅魚洗淨後，從魚背鰭與魚頭處縱切一刀，深至龍骨直劃到魚尾。2.取2根蔥切段拍破；取10公克的薑切片，把蔥段、薑片舖在蒸盤上，將作法1的尼羅紅魚切口處向下，置於蒸盤的蔥段、薑片上，以利蒸氣穿透。3.於作法2的尼羅紅魚表面灑上米酒，放入蒸籠以大火蒸約15分鐘至熟，取出另裝盤，原盤底的蔥段、薑片及蒸魚水棄置不用。4.取剩餘的2根蔥及剩餘的薑、辣椒皆切成細絲，鋪在作法3的尼羅紅魚身上。5.起一炒鍋，將沙拉油燒熱後淋至作法4的蔥絲、薑絲、辣椒絲上。6.把蠔油醬入鍋煮滾，淋在作法5上即完成。",
小魚干、豆干、綠辣椒、紅辣椒、蒜末、豆豉,"小魚干炒豆干
 食材：小魚干，豆干，綠辣椒，紅辣椒，蒜末，豆豉
 調味料：鹽，糖，雞粉，米酒，水
 作法：1.豆乾切條狀；小魚干洗淨；紅、綠辣椒洗淨切片；備用。2.熱一鍋倒入適量的油燒熱至150℃，將作法1的豆乾條與小魚干分別放入鍋中炸酥備用。3.作法2鍋中留少許的油，放入作法1的紅、綠辣椒片及蒜末、豆豉爆香。4.再加入所有調味料與作法2的豆乾條、小魚干以大火炒至收汁即可。",
鯖魚、牛蕃茄、蔥段、水,"茄汁燉鯖魚
 食材：鯖魚，牛蕃茄，蔥段，水
 調味料：A.白醋，B.糖，鹽，雞粉，蕃茄醬
 作法：1.鯖魚處理好洗淨切大塊，以白醋浸泡冷藏一晚；蕃茄汆燙去皮切塊，備用。2.熱鍋，加入適量的油，放入蔥段爆香，加入作法1的蕃茄塊、蕃茄醬炒勻，再加入水煮約10分鐘。3.於作法2中加入作法1的鯖魚塊、其餘調為料B，蓋上鍋蓋以中火燉煮約15分鐘即可。",
白飯、吻仔魚、珠蔥末、蒜末、高湯,"吻仔魚粥
 食材：白飯，吻仔魚，珠蔥末，蒜末，高湯
 調味料：鹽，鮮雞粉，料理米酒，白胡椒粉
 作法：1.吻仔魚洗淨瀝乾水份備用。2.熱鍋倒入1大匙油燒熱，放入蒜末以小火爆香至呈金黃色，盛出即為蒜酥。3.湯鍋中倒入高湯以中火煮至滾沸，放入白飯改小火拌煮至略濃稠，加入作法1繼續拌煮均勻，再加入所有調味料調味，最後加入珠蔥末和作法2煮勻即可。",
鱈魚、青蔥絲、辣椒絲、薑絲、蒜頭片、香油,"清蒸鱈魚
 食材：鱈魚，青蔥絲，辣椒絲，薑絲，蒜頭片，香油
 調味料：米酒，鹽，白胡椒，蠔油
 作法：1.將鱈魚洗淨，再使用餐巾紙吸乾，放入盤中。2.取容器，加入所有的調味料一起輕輕攪拌均勻，鋪蓋在作法1的鱈魚上。3.將青蔥絲、辣椒絲、薑絲和蒜頭片放至作法1的鱈魚上，蓋上保鮮膜，放入電鍋中，外鍋加入一杯水蒸至開關跳起即可。4.取出蒸好後的鱈魚，再淋上加熱後的香油以增加香氣。",
鱸魚、薑絲、蔥段、水,"鮮魚湯
 食材：鱸魚，薑絲，蔥段，水
 調味料：鹽，雞粉，米酒
 作法：1.鱸魚洗淨，切塊備用。2.取鍋，加入水煮滾後，放入作法1的鱸魚塊、薑絲和蔥段煮熟，加入調味料拌勻，盛入碗中。",
白飯、大骨湯、吻仔魚、雞蛋,"吻仔魚粥
 食材：白飯，大骨湯，吻仔魚，雞蛋
 調味料：鹽，白胡椒粉，香油
 作法：1.將白飯放入大碗中，加入約50㏄的水，用大湯匙將有結塊的白飯壓散，備用。2.取一鍋，將大骨湯倒入鍋中煮開，再放入作法1壓散的白飯，煮滾後轉小火，續煮約5分鐘至米粒糊爛。3.於作法2中加入吻仔魚，並用大湯匙攪拌均勻，再煮約1分鐘後，加入鹽、白胡椒粉、香油拌勻，接著淋入打散的雞蛋拌勻凝固後，熄火裝碗即可。",
鮪魚罐頭、洋蔥、蛋、沙拉油、低筋麵粉、在來米粉、水,"吻仔魚粥
 食材：白飯，大骨湯，吻仔魚，雞蛋
 調味料：鹽，白胡椒粉，香油
 作法：1.將白飯放入大碗中，加入約50㏄的水，用大湯匙將有結塊的白飯壓散，備用。2.取一鍋，將大骨湯倒入鍋中煮開，再放入作法1壓散的白飯，煮滾後轉小火，續煮約5分鐘至米粒糊爛。3.於作法2中加入吻仔魚，並用大湯匙攪拌均勻，再煮約1分鐘後，加入鹽、白胡椒粉、香油拌勻，接著淋入打散的雞蛋拌勻凝固後，熄火裝碗即可。作法：1.將所有麵糊材料調勻成麵糊，靜置約20分鐘備用。2.鮪魚罐頭瀝乾油份後，倒出；洋蔥切末；蛋打散成蛋液備用。3.熱鍋，加入沙拉油，倒入作法1的麵糊，儘量鋪平、鋪薄，以小火煎約30秒後，再放入作法2的鮪魚、洋蔥末，用鍋鏟輕壓麵餅，並不時轉動麵餅，煎到底色略呈金黃色時，淋下蛋液，再翻面續煎約1分鐘至蛋熟即可。",
鯛魚片、蒜泥醬、蔥花,"蒜泥蒸魚片
 食材：鯛魚片，蒜泥醬，蔥花
 調味料：蠔油，開水，細砂糖
 作法：1.把鯛魚片洗淨後，切厚片排放蒸盤上。2.將所有調味料混合成醬汁備用。3.將蒜泥醬淋至作法1的鯛魚片上，封上保鮮膜，放入蒸籠以大火蒸約15分鐘後取出，撕去保鮮膜，撒上蔥花，再淋上作法2的醬汁即可。",
鮭魚塊、洋蔥丁、白飯、起司絲、奶油,"奶油鮭魚焗飯
 食材：鮭魚塊，洋蔥丁，白飯，起司絲，奶油
 調味料：動物性鮮奶油，鹽
 作法：1.取鍋，加入奶油，放入洋蔥丁和鮭魚塊炒香後，再加入調味料和白飯以小火炒勻。2.將作法1盛入焗烤盅內，撒上起司絲。3.放入已預熱的烤箱中，以上火200℃下火150℃，烤約6分鐘至表面呈金黃色即可。",
鱈魚、地瓜粉,"酥炸鱈魚
 食材：鱈魚，地瓜粉
 調味料：A.鹽，雞精粉，黑胡椒粉，米酒，B.椒鹽粉
 作法：1.將鱈魚攤平，將調味料A均勻的抹在兩面上，靜置約5分鐘。2.將醃好的鱈魚兩面都沾上地瓜粉，備用。3.熱一鍋油至約150℃，將鱈魚放入油鍋炸至金黃色，撈起瀝乾裝盤，食用時沾椒鹽粉即可",
雞蛋、吻仔魚,"吻仔魚厚蛋燒
 食材：雞蛋，吻仔魚
 調味料：味醂，鰹魚醬油，米酒
 作法：1.雞蛋打散，加入吻仔魚和所有調味料拌勻調和成蛋液。2.取圓形煎鍋底抹油加熱，先抹上淡淡一層油後，再加熱。3.倒入適量作法1的蛋液使其均勻佈滿鍋底，用小火慢煎至略凝固時，將前端蛋皮往後摺三折，推至圓鍋前緣。4.鍋底再抹油，再倒入適量作法1的蛋液，並掀起鍋邊蛋皮，讓新加入的蛋汁可流入下方確實佈滿整個鍋底，煎至半熟時，再將蛋皮摺起，推向前方鍋邊，重複上述步驟直到蛋液用完煎成厚蛋。5.將厚蛋每個面都立起煎至定型且微焦香，並將煎好的厚蛋盛至壽司竹簾上，趁熱利用竹聯將厚蛋燒包捲塑型，放置冰箱冷藏定型，取出食用前分切小塊即可。",
市售酥皮、市售玉米濃湯、蛋黃、鮮蝦、魚片、透抽片,"海鮮酥皮濃湯
 食材：市售酥皮，市售玉米濃湯，蛋黃，鮮蝦，魚片，透抽片
 調味料：粗黑胡椒粉
 作法：1.烤箱先預熱至150℃備用。2.玉米濃湯、鮮蝦、魚片、透抽片、調味料放入烤碗內，放入作法1的烤箱中以150℃烤約5分鐘，取出備用。3.市售酥皮抹上蛋黃後舖至作法濃湯碗上，再以200℃烤約3分鐘至酥皮膨脹表面呈金黃色即可。",
鯛魚皮、洋蔥絲、辣椒絲、香菜,"涼拌魚皮
 食材：鯛魚皮，洋蔥絲，辣椒絲，香菜
 調味料：鹽，烏醋，味醂，鰹魚醬油
 作法：1.熱鍋水，待沸騰後熄火1分鐘後，放入鯛魚皮略燙，立即撈起泡冰水備用。2.洋蔥絲泡冰水至呈透明狀備用。3.混合所有調味料與作法2的洋蔥絲，再加入作法1的鯛魚皮拌勻，撒上香菜即可。",
綜合魚漿火鍋料、韭菜、糯米粉、水、蛋、熟白芝麻,"海鮮煎餅
 食材：綜合魚漿火鍋料，韭菜，糯米粉，水，蛋，熟白芝麻
 調味料：黑麻油，韓式辣椒醬，蒜泥，醬油
 作法：1.綜合魚漿火鍋料切薄片；韭菜洗淨切小段，備用。2.取一碗倒入糯米粉、水、蛋液打勻。3.加入所有調味料拌勻。4.再放入作法1的綜合魚漿片及韭菜段拌勻成麵糊。5.取一平底鍋，倒入少許黑麻油加熱，倒入適量的麵糊平均鋪在鍋內。6.以小火慢煎至兩面金黃，起鍋前灑上白芝麻即可",
鮭魚、洋蔥絲、鴻禧菇、蒜片、奶油、巴西里末,"奶油烤鮭魚
 食材：鮭魚，洋蔥絲，鴻禧菇，蒜片，奶油，巴西里末
 調味料：鹽，米酒，粗黑胡椒粉
 作法：1.鮭魚洗淨抹上所有醃料醃一下；鴻禧菇切去蒂頭洗淨，備用。2.取一張鋁箔紙，放入洋蔥絲、作法1的鮭魚、鴻禧菇、蒜片、奶油包好備用。3.烤箱預熱後，將作法2放入烤箱中以220℃烤約15分鐘，取出撒入巴西里末即可。",
鰱魚頭、大白菜、金針菇、腐竹、香菇、扁魚、蒜末、青蒜絲、香菜、地瓜粉、熟筍片、鴿蛋,"砂鍋魚頭
 食材：鰱魚頭，大白菜，金針菇，腐竹，香菇，扁魚，蒜末，青蒜絲，香菜，地瓜粉，熟筍片，鴿蛋
 調味料：醬油，鹽，米酒，胡椒粉
 醃料：醬油
 作法：魚頭先醃10分鐘，再沾地瓜粉油炸至金黃後撈起。把所有鴿蛋油炸至金黃，接著用沸水燙一下腐竹，以去除油脂。厚鍋內放少許油，將蒜末、扁魚爆香，再把大白菜鋪在鍋子裡，擺入魚頭，加入其餘配料，然後加開水或高湯，並以鹽、胡椒粉調味，煮開後加蓋繼續燜煮10分鐘，最後加入青蒜絲與香菜即可。",
通心麵、罐裝鮪魚、洋蔥末,"鮪魚通心麵
 食材：通心麵，罐裝鮪魚，洋蔥末
 調味料：高湯，義大利綜合香料，鹽，動物性鮮奶油
 作法：1.通心麵放入煮沸的水中煮約４分鐘後撈起，瀝乾水分備用。2.熱鍋連湯汁倒入罐裝鮪魚，以鍋鏟弄散魚肉，再與洋蔥末、義大利綜合香料一起以中火炒香。3.於作法2的鍋中加入高湯和動物性鮮奶油、作法1通心麵拌勻改小火煮約1分鐘，最後加鹽調味即可。",
鯛魚片、芹菜、木耳絲、紅蘿蔔絲、辣椒絲、薑末、蒜末,"芹菜炒鯛魚片
 食材：鯛魚片，芹菜，木耳絲，紅蘿蔔絲，辣椒絲，薑末，蒜末
 調味料：鹽，糖，雞粉，米酒，烏醋，白胡椒粉
 醃料：米酒，鹽，雞粉
 作法：1.雕魚片洗淨切小片狀，加入所有醃料拌勻後醃約10分鐘備用。2.芹菜洗淨切段備用。3.熱鍋，倒入稍多的油，待油溫熱至約100℃，放入作法1的鯛魚片過油後，撈起備用。4.作法3鍋中留約1大匙的油，放入薑末、蒜末爆香，放入木耳絲、紅蘿蔔絲炒勻，再放入辣椒絲、作法2的芹菜段炒勻。5.加入作法3的鯛魚片、所有調味料炒勻入味即可。",
洋菇、厚片土司、蕃茄披薩醬、起司絲、玉米粒、罐頭鮪魚肉、起司粉,"土司披薩
食材：洋菇、厚片土司、蕃茄披薩醬、起司絲、玉米粒、罐頭鮪魚肉、起司粉
作法：1.洋菇洗淨切丁備用。2.將烤盤刷上一層薄油，放入厚片土司，並抹上蕃茄披薩醬。3.作法2均勻撒上起司絲，再均勻舖上作法1材料與玉米粒、罐頭鮪魚肉，最後撒上適量起司絲與起司粉。4.將作法3移入預熱200℃的烤箱中，烘烤約6分鐘，至起司表面呈金黃色後，即可取出。",
A.鮪魚罐頭、甜玉米粒、美乃滋、黑胡椒粗粉、鹽、B.白飯、海苔,"玉米鮪魚飯糰
食材：A.鮪魚罐頭、甜玉米粒、美乃滋、黑胡椒粗粉、鹽、B.白飯、海苔
作法：1.將鮪魚取出，瀝乾水份並搗散，再加入其它材料A一起拌勻，成內餡備用。2.取適量作法1的內餡包入白飯中捏緊成飯糰，可依喜好分別包成數顆或再裹上海苔即可",
鯛魚肉、雞蛋、太白粉、麵包粉,"炸鯛魚片
 食材：鯛魚肉，雞蛋，太白粉，麵包粉
 調味料：鹽，雞精粉，白胡椒粉，米酒，太白粉
 作法：1.鯛魚肉洗淨瀝乾後，以斜刀切成片，再加入所有調味料抓勻並醃漬約5分鐘；雞蛋打散成蛋液備用。2.將每片魚片先沾裹上太白粉後，再沾裹上蛋液，最後沾裹上麵包粉並用手輕壓使其沾緊。3.熱鍋後加入適量的沙拉油，將油溫燒熱至約120℃後轉小火，再放入魚片於鍋中以小火炸至金黃色即可將魚片撈出瀝乾裝盤。",
甜不辣條、韭菜花、蒜末、辣椒片,"韭菜炒甜不辣
 食材：甜不辣條，韭菜花，蒜末，辣椒片
 調味料：鹽，醬油，雞粉
 作法：1.將韭菜花折去比較老的筋部，甜不辣過滾水去除油味。2.起鍋爆香蒜末、辣椒，再加入韭菜花與調味料。3.拌炒到韭菜花熟即可。",
新鮮丁香魚、蔥、香菜、蒜末、紅辣椒、太白粉,"椒鹽丁香魚
 食材：新鮮丁香魚，蔥，香菜，蒜末，紅辣椒，太白粉
 調味料：椒鹽粉
 作法：1.丁香魚洗淨瀝乾，紅辣椒洗淨、切細，蔥及香菜洗淨、切小段，備用。2.熱一鍋油至約180℃，將丁香魚裹上太白粉，放入以大火炸至呈金黃色，撈起瀝乾。3.另熱鍋倒入少許油，放入蔥、紅辣椒及香菜，以大火略為翻炒後加入丁香魚繼續快炒，一面翻炒一面撒下椒鹽粉炒勻即可。",
白米、鯛魚、青蔥、薑、清水,"魚片粥
 食材：白米，鯛魚，青蔥，薑，清水
 調味料：味噲 ，鹽，胡椒粉
 作法：1.白米洗淨，以等量的水浸泡30分鐘以上。2.鯛魚洗淨切斜片；青蔥洗淨切蔥花；薑切細絲。3.取湯鍋，倒入作法1的白米和清水，以大火煮沸後，改以小火燜煮。4.至米湯再度滾沸，米粒略化開時，加入調味料、鯛魚片和薑絲，以大火煮至滾沸。5.食用前再撒上蔥花即可。",
金目鱸魚、樹子、樹子湯汁、蔥段、薑片、蔥花、辣椒絲,"樹子蒸魚
 食材：金目鱸魚，樹子，樹子湯汁，蔥段，薑片，蔥花，辣椒絲
 調味料：糖，米酒
 作法：1.金目鱸處理好洗淨，在魚身上劃一刀，淋上熱水去腥備用。2.取一蒸盤，放上薑片、蔥段及作法1的金目鱸，再淋上樹子、樹子湯汁及所有調味料。3.將蒸鍋水煮沸騰，放入作法2，以大火蒸約12分鐘，取出趁熱撒上蔥花、辣椒絲即可。",
鱸魚、香茅、蒜仁、紅辣椒、香菜,"泰式烤檸檬魚
 食材：鱸魚，香茅，蒜仁，紅辣椒，香菜
 調味料：魚露，檸檬汁，鹽，白胡椒，香油
 作法：1.將鱸魚去頭去尾，再切成片狀後洗淨，備用。2.將香茅、蒜仁、辣椒、香菜都茄成碎狀，備用。3.將作法2材料與所有調味料一起攪拌均勻，備用。4.處理好的鱸魚放入烤盤中，再加入作法3材料，均勻淋入。5.最後再加入200℃烤箱中，烤約15分鐘即可。",
吻仔魚、蒜末、薑末、辣椒末、蔥末,"蒜香吻仔魚
 食材：吻仔魚，蒜末，薑末，辣椒末，蔥末
 調味料：醬油，鹽，糖，米酒，烏醋
 作法：1.吻仔魚洗淨瀝乾，放入油鍋略炸一下至微乾，撈出瀝油。2.取鍋燒熱後倒入少許油，放入蒜末、薑末、蔥末爆香，再放入辣椒末，續加入作法1略炸過的吻仔魚與所有調味料拌炒均勻即可。",
鯉魚、嫩豆腐、蔥、薑、蒜頭、辣椒、香菜,"豆瓣鯉魚
 食材：鯉魚，嫩豆腐，蔥，薑，蒜頭，辣椒，香菜
 調味料：辣豆瓣醬，米酒，醬油，糖，太白粉，香油
 作法：1.鯉魚洗淨擦乾水分，在魚身的兩面上都劃斜刀，放入油鍋中炸熟，撈出瀝乾油分，放入盤中備用。2.嫩豆腐切丁，蔥、薑、蒜頭、辣椒切細末備用。3.鍋內放入2大匙油燒熱，先爆香蔥、薑、蒜頭、辣椒、辣豆瓣醬，熗入米酒，再放入醬油、糖及1杯水，煮滾後加入豆腐丁，煮約3分鐘，再用太白粉水勾芡。4.淋上香油，撒上香菜，起鍋後淋在作法1的鯉魚上即可。",
吳郭魚、蒜末、洋蔥、青椒、紅甜椒、蕃薯粉,"糖醋魚
 食材：吳郭魚，蒜末，洋蔥，青椒，紅甜椒，蕃薯粉
 調味料：A.鹽，胡椒粉，米酒，B.蕃茄醬，糖，白醋，水，太白粉水，香油
 作法：1.將吳郭魚洗淨，魚身劃刀，加入調味料A醃製約20分鐘至入味備用。2.將洋蔥、青椒、紅甜椒均切成丁狀備用。3.將作法1的吳郭魚魚身沾上蕃薯粉，放入約180℃的油鍋中，以中火炸約6分鐘，當魚外表呈現金黃色時取出擺盤。4.熱油鍋，放入蒜末、洋蔥爆香。再放入作法2的青椒、紅甜椒、蕃茄醬、糖、白醋、水，煮滾後，再用太白粉水芶芡，滴入香油。5.將作法4淋於作法3炸好的吳郭魚身上即可。",
金目鱸魚、紅蘿蔔絲、洋蔥絲、木耳絲、熟筍絲、青椒絲、香菜、麵粉、太白粉水,"五柳魚
 食材：金目鱸魚，紅蘿蔔絲，洋蔥絲，木耳絲，熟筍絲，青椒絲，香菜，麵粉，太白粉水
 調味料：糖，鹽，醬油，白糖，烏醋，番茄醬
 醃料：薑片，蔥段，米酒，鹽
 作法：1.金目鱸魚處理後洗淨瀝乾，加入所有醃料醃約10分鐘後取出沾上乾麵粉備用。2.熱鍋，倒入稍多的油，待油溫熱至約160℃，放入作法1的金目鱸魚炸至表面上色且熟，撈出瀝油備用。3.作法2鍋中留約1大匙油，放入洋蔥絲炒香後，放入紅蘿蔔絲、木耳絲、熟筍絲拌炒均勻。4.於作法3鍋中加入水煮沸後，加入所有調味料、青椒絲拌勻，以太白粉水勾芡，再加入香菜成五柳醬。5.將作法4的五柳醬淋在作法2的金目鱸魚上即可。",
小魚干、青辣椒、紅辣椒、豆干、豆豉、蒜頭,"青紅椒炒小魚干
 食材：小魚干，青辣椒，紅辣椒，豆干，豆豉，蒜頭
 調味料：醬油，米酒，糖
 作法：1.小魚干洗淨，放入沸水中汆燙一下瀝乾，再放入油溫120℃的油鍋中炸香，瀝油備用。2.豆干切條狀放入作法1的油鍋中炸一下，瀝油備用。3.蒜頭切末；青辣椒、紅辣椒切斜片，備用。4.熱鍋，倒入少許油，放入作法3的材料與豆豉爆香，再加入作法1的小魚干、作法2的豆干條及所有調味料炒勻即可。",
虱目魚肚、蒜片、辣椒片、青蔥段、薑片、新鮮九層塔,"豆豉蒸魚
 食材：虱目魚肚，蒜片，辣椒片，青蔥段，薑片，新鮮九層塔
 調味料：黑豆豉，香油，糖，鹽，白胡椒粉
 作法：1.將虱目魚肚洗淨，再使用餐巾紙吸乾，放入盤中。2.取容器，加入所有的調味料一起輕輕攪拌均勻，鋪蓋在作法1的虱目魚肚上。3.將蒜片、辣椒片、青蔥段和九層塔葉放至作法1的虱目魚肚上，蓋上保鮮膜，放入電鍋中，外鍋加入一杯水蒸至開關跳起即可。",
虱目魚、薑片、水、米酒、當歸、黃耆、枸杞,"當歸黃耆虱目魚湯
 食材：虱目魚，薑片，水，米酒，當歸，黃耆，枸杞
 調味料：鹽
 作法：1.虱目魚洗淨，切大塊備用。2.中藥材料洗淨，瀝乾備用。3.將作法1的虱目魚塊放入鍋中，再放入薑片、作法2的中藥材料、米酒和水。4.將作法3的鍋子放入電鍋內，外鍋加入1杯水，待開關跳起後，再加入鹽調味即可。",
白飯、大骨湯、虱目魚腹、薑絲、蔥花,"虱目魚粥
 食材：白飯，大骨湯，虱目魚腹，薑絲，蔥花
 調味料：鹽，白胡椒粉，香油
 作法：1.將白飯放入大碗中，加入約50㏄的水，用大湯匙將有結塊的白飯壓散，備用。2.取一鍋，將大骨湯倒入鍋中煮開，再放入作法1壓散的白飯，煮滾後轉小火，續煮約5分鐘至米粒糊爛。3.於作法2中加入虱目魚塊及薑絲，並用大湯匙攪拌均勻，再煮約2分鐘至魚肉熟後，加入鹽、白胡椒粉、香油拌勻後熄火。4.起鍋裝碗後，可依個人喜好撒上蔥花搭配即可。",
台南意麵、鱔魚、韭黃、洋蔥、辣椒、蔥、蒜頭、薑末、沙拉油、水,"鱔魚意麵
 食材：台南意麵，鱔魚，韭黃，洋蔥，辣椒，蔥，蒜頭，薑末，沙拉油，水
 調味料：太白粉，雞粉，胡椒粉，醬油，香油，酒，烏醋，鹽，糖
 作法：1.台南意麵以滾水汆燙至熟，以冷水沖涼後均勻拌入沙拉油；鱔魚以酒、雞粉、太白粉拌勻並醃至入味；蒜頭、辣椒切末；蔥切段備用。2.將作法1的鱔魚放入已燒熱的油鍋中爆炒至熟後，撈起瀝乾油脂備用。3.熱鍋，放入沙拉油、蔥、蒜頭、薑末、辣椒爆香，加入水及作法1的意麵及全部調味料(香油除外)，續煮至湯汁快收乾前，再加入作法2的鱔魚及韭黃、香油快速拌炒均勻即可。",
土虱魚、薑、蒜仁、紅辣椒、九層塔,"三杯土虱
 食材：土虱魚，薑，蒜仁，紅辣椒，九層塔
 調味料：胡麻油，醬油膏，細糖，米酒，水
 作法：1.土虱魚洗淨，剁成寬約5公分的段；薑去皮、切片，紅辣椒洗淨，分別以刀面稍微拍過；九層塔洗淨、瀝乾備用。2.熱一鍋油，先小火將蒜仁炸至金黃後撈出，再改大火放入土虱魚炸至表面焦黃撈出，備用。3.另熱一砂鍋加入胡麻油燒熱，小火爆香薑片及紅辣椒至微焦，放入作法2的土虱魚及蒜仁，再加入其他調味料，蓋上蓋子以中火燒至水分收乾，放入九層塔略拌兩下即可。",
魚頭、肉片、豆腐、香菇、金針菇、大白菜、寬粉條、蔥段、蒜頭、辣椒片,"砂鍋魚頭
 食材：魚頭，肉片，豆腐，香菇，金針菇，大白菜，寬粉條，蔥段，蒜頭，辣椒片
 調味料：糖，醬油，蠔油，米酒，香油，高湯，白胡椒粉
 作法：1.豆腐切適當塊狀；香菇泡水至軟切絲；大白菜切片，備用。2.熱鍋，倒入稍多的油，待油溫熱至160℃，放入豆腐炸至金黃取出瀝油備用。3.再放入洗淨的魚頭，炸至表面金黃取出瀝油備用。4.作法3鍋中留少許油，放入蔥段、蒜頭、辣椒片及香菇絲爆香，放入大白菜炒勻。5.將作法4移入砂鍋中，加入所有調味料、作法3魚頭、豆腐、肉片及金針菇煮沸。6.放入寬粉條轉小火燜煮20分鐘即可。",
香魚,"檸檬胡椒烤香魚
 食材：香魚
 調味料：黑胡椒，檸檬（擠汁），鹽
 作法：1.香魚洗淨、用紙巾擦乾，備用。2.烤箱預熱至180℃，烤盤放上鹽，以上火180℃、下火180℃，放入作法1的香魚烤約15分鐘至熟。3.取出作法2的香魚，食用前撒上黑胡椒、擠上檸檬汁即可。",
